id_edificio,latitud,longitud,altura_estimada
67825842,37.4153412,-5.9657431,6.0
67825843,37.4144294,-5.9660595,6.0
67825844,37.4146872,-5.9661749,6.0
67825845,37.4146302,-5.9657146,6.0
67825846,37.4148853,-5.9656411,6.0
67825847,37.4160592,-5.9668857,6.0
67825848,37.4150941,-5.9662929,6.0
67825849,37.4153263,-5.9663572,6.0
67825850,37.4155287,-5.9661239,6.0
67825851,37.4155862,-5.9658182,6.0
67825852,37.4164708,-5.9665906,6.0
67825853,37.4156147,-5.9664992,6.0
67825854,37.4155759,-5.9668055,6.0
67825855,37.4157619,-5.967119,6.0
67825856,37.415983,-5.967182,6.0
67825857,37.4161784,-5.9660461,6.0
67825858,37.4159281,-5.9659992,6.0
67825859,37.4162005,-5.9665305,6.0
67919521,37.4106446,-5.9780153,6.0
67987993,37.4040899,-5.9810624,6.0
68506094,37.4129012,-5.9665588,6.0
68506095,37.4124795,-5.9667305,6.0
68506096,37.4132101,-5.9660868,6.0
68506097,37.4133568,-5.9665994,6.0
68567142,37.3964244,-5.9816467,6.0
68695384,37.3990178,-5.9877325,6.0
68695386,37.3963052,-5.9874862,6.0
68695388,37.3987911,-5.9865457,6.0
68695389,37.3991193,-5.9863984,6.0
68695390,37.3993422,-5.9868777,6.0
68697026,37.3995244,-5.9906513,6.0
68750317,37.4116856,-5.9928986,6.0
68750320,37.4120254,-5.9931548,6.0
68762362,37.4075116,-5.9779501,6.0
68762391,37.4063714,-5.9839851,6.0
68762397,37.4059024,-5.9834533,6.0
68865915,37.4031427,-5.9925002,6.0
68999396,37.4049633,-5.9910555,6.0
69021798,37.4057481,-5.9922167,9.0
69022490,37.4078284,-5.9911949,6.0
69022491,37.4072407,-5.9897751,6.0
69029067,37.4112396,-5.9885392,6.0
69178084,37.4241579,-5.9817601,6.0
69205655,37.4098988,-5.9878034,6.0
69205658,37.4091607,-5.9810393,6.0
69251732,37.3944732,-5.9777025,6.0
69251894,37.3956612,-5.9812816,6.0
69260126,37.3952288,-5.9805082,6.0
69260128,37.395475,-5.9800696,6.0
69687878,37.398394,-5.9746964,6.0
69687881,37.3986178,-5.9789589,6.0
69687882,37.4017616,-5.9749392,6.0
69689636,37.4001492,-5.9721523,6.0
69689638,37.4005159,-5.9714577,6.0
69707784,37.4053373,-5.9655937,6.0
69856382,37.4012905,-5.967745,6.0
69863497,37.4047932,-5.9651178,21.0
69863499,37.4044735,-5.9650105,21.0
69863501,37.4042051,-5.9647181,21.0
69863502,37.4036298,-5.9648362,6.0
69863506,37.4035055,-5.9668745,6.0
69872763,37.4039549,-5.9653071,6.0
69890771,37.3976674,-5.9831277,6.0
69890772,37.3976701,-5.983153,6.0
69926860,37.405942,-5.967462,6.0
69926862,37.4058315,-5.9671511,6.0
69926864,37.4050671,-5.9667897,6.0
69926866,37.4057031,-5.9669612,6.0
69926868,37.4051684,-5.9670952,6.0
69926869,37.4054057,-5.966895,6.0
69926871,37.4048202,-5.9669666,6.0
69934873,37.4047647,-5.9681198,6.0
69934878,37.4050598,-5.9682647,6.0
69934884,37.4054454,-5.9684564,6.0
69934889,37.404395,-5.967865,6.0
70012530,37.3814317,-5.9792679,45.0
70012535,37.3825212,-5.9769181,6.0
70012536,37.382874,-5.9776651,6.0
70012546,37.3866103,-5.9728953,6.0
70012550,37.3876253,-5.9736984,6.0
70012552,37.3867775,-5.9754838,6.0
70012558,37.3895436,-5.975434,6.0
70012573,37.3909152,-5.9844332,6.0
70081022,37.3781883,-5.9830732,33.0
70081024,37.3813125,-5.985563,6.0
70083831,37.3760355,-5.9805597,6.0
70083832,37.3760872,-5.9798803,6.0
70085381,37.3755158,-5.9831226,6.0
70085382,37.375326,-5.9836282,6.0
70085383,37.3753968,-5.9822379,6.0
70085384,37.3755008,-5.9824138,6.0
70085386,37.3744097,-5.9842846,6.0
70085389,37.3755903,-5.9845985,6.0
70085390,37.3760443,-5.9838113,6.0
70085391,37.3748664,-5.9842302,6.0
70085392,37.3758481,-5.9830042,6.0
70107605,37.3691587,-5.981197,6.0
70107610,37.3749002,-5.9828721,6.0
70108356,37.3714985,-5.9731074,6.0
70610187,37.3725484,-5.9813325,6.0
70610191,37.3736966,-5.9857197,3.0
70610198,37.3759371,-5.9763947,6.0
70610205,37.3778414,-5.9786461,6.0
70610207,37.3744193,-5.985622,6.0
70610211,37.3785273,-5.9779147,21.0
70610221,37.3770365,-5.9788155,6.0
70794374,37.37616,-6.0024226,6.0
70794377,37.3756245,-6.0012076,6.0
70799498,37.3760348,-5.9994091,6.0
70813713,37.3737475,-5.9808206,6.0
70813714,37.3792849,-5.9968221,6.0
70817166,37.3645443,-5.9867146,6.0
70817168,37.3640253,-5.9866738,9.0
70817169,37.3657281,-5.9742574,6.0
70817173,37.3656672,-5.9866404,9.0
70824193,37.362466,-5.9726238,6.0
70850301,37.3460928,-5.9714865,6.0
70850302,37.3463983,-5.9729296,6.0
70850303,37.3460613,-5.9727123,6.0
70971068,37.4045748,-6.0078013,6.0
70971077,37.4085636,-6.0050866,6.0
70971081,37.4014461,-6.0051829,3.0
70971099,37.4109971,-6.0039907,6.0
70971102,37.4072295,-6.004939,6.0
71001982,37.4312488,-5.9791586,6.0
71079663,37.3474268,-5.9813292,3.0
71079672,37.3437954,-5.9825495,6.0
71079674,37.3475907,-5.9783104,6.0
71082819,37.3623119,-5.9865689,6.0
71082821,37.3622352,-5.987753,6.0
71082822,37.3632453,-5.9870008,6.0
71082824,37.3611919,-5.987186,6.0
71082825,37.3617392,-5.9867197,6.0
71082826,37.3625662,-5.9867751,6.0
71082827,37.3610317,-5.9879599,6.0
71136596,37.3563853,-5.9840515,9.0
71136609,37.3546781,-5.9824449,6.0
71136622,37.3553259,-5.9891659,6.0
71136627,37.3642271,-5.9891909,6.0
71160489,37.3614331,-5.9762312,6.0
71167154,37.3684204,-5.9861165,9.0
71196372,37.3815279,-5.9691557,6.0
72099061,37.392659,-5.9687221,6.0
72099063,37.3926967,-5.9684423,6.0
72099064,37.3928668,-5.9695264,6.0
72099074,37.3929416,-5.9691307,6.0
72099075,37.3929746,-5.9687457,6.0
72140615,37.3951663,-5.9669505,6.0
72140616,37.3954519,-5.9672405,18.0
72140617,37.3954742,-5.9669102,6.0
72140618,37.3953436,-5.9662667,6.0
72140619,37.3958566,-5.967011,6.0
72140620,37.3943078,-5.9674974,6.0
72140621,37.3948192,-5.9675652,6.0
72140622,37.3946794,-5.9671125,6.0
72140623,37.3949659,-5.9671623,6.0
72140624,37.3952042,-5.9676516,6.0
72140625,37.3944886,-5.968465,6.0
72140626,37.3942081,-5.9684375,6.0
72140627,37.3940968,-5.9680112,6.0
72140628,37.3941469,-5.9678163,6.0
72140629,37.3938813,-5.9674252,6.0
72140635,37.3947939,-5.9679957,6.0
72144798,37.4064816,-6.0047081,6.0
72172852,37.4102503,-6.003519,6.0
72692154,37.3941284,-5.9622583,6.0
72770493,37.3948455,-5.9623259,6.0
72770508,37.3952613,-5.9628212,6.0
72770519,37.3937106,-5.9593038,6.0
72770526,37.3933917,-5.9586162,6.0
72770539,37.3935744,-5.9589107,6.0
72770543,37.3900093,-5.9675027,6.0
72770551,37.3933578,-5.9588289,6.0
72770571,37.3931857,-5.9588696,6.0
72800100,37.3802961,-5.9731647,36.0
72800103,37.378006,-5.9682363,6.0
72800123,37.3788676,-5.9637684,6.0
72800137,37.383262,-5.96591,6.0
72993098,37.3912366,-5.9124558,6.0
73241969,37.3701998,-5.96891,6.0
73404421,37.3748649,-5.9650047,6.0
73404427,37.3752834,-5.9638482,6.0
73832651,37.4204974,-5.9713445,6.0
73880775,37.3817514,-5.910763,6.0
73880787,37.3861668,-5.9030552,6.0
73880796,37.38483,-5.9063367,6.0
73880812,37.3886608,-5.9115925,6.0
73920683,37.3799197,-5.9210695,6.0
74041506,37.3864767,-5.9492597,6.0
74041511,37.3724821,-5.9280178,6.0
74041525,37.3811119,-5.9115496,6.0
74041530,37.3822489,-5.9109459,6.0
74041532,37.3726286,-5.9275008,6.0
74041536,37.3843572,-5.9095918,6.0
74041538,37.3720852,-5.9326713,6.0
74041550,37.380985,-5.9107617,6.0
74041552,37.3816879,-5.9111131,6.0
74428419,37.4074018,-6.0059362,6.0
